,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,FarePerPerson,AgeGroup
0,0,3,0,0.0,0,0,-0.4984071766385883,1,1,7.8292,3
1,0,2,0,3.0,0,0,-0.4650885848058454,1,1,9.6875,5
2,0,3,0,-0.0,0,0,-0.4834664337153657,2,1,8.6625,3
3,0,3,0,-1.0,0,0,-0.4733810288259948,2,1,9.225,2
4,0,2,0,-0.0,1,1,-0.1188230169374451,2,3,9.666666666666666,3
5,0,3,0,-1.0,2,0,-0.2057816190946874,2,3,8.049999999999999,3
6,0,3,0,-0.0,0,0,-0.4972130646996868,2,1,7.8958,3
7,0,1,0,1.0,0,0,-0.1726118430140898,2,1,26.0,4
8,0,2,0,3.0,1,0,-0.1726118430140898,2,2,13.0,5
9,0,2,0,0.0,0,0,-0.4173510016628232,1,1,12.35,3
10,0,3,0,-1.0,0,0,-0.5092402462104246,0,1,7.225,3
11,0,1,0,2.0,1,0,0.4262370873058877,0,2,29.7,4
12,0,3,0,-2.0,0,1,-0.5819304657704023,2,2,1.5854,1
13,0,1,0,-1.0,0,1,0.4617233688295194,0,2,30.6896,3
14,0,3,0,2.0,1,0,-0.3788023429745612,2,2,7.25,4
15,0,3,0,-1.0,0,0,-0.5092402462104246,0,1,7.225,3
16,0,1,0,1.0,0,0,-0.0919286038991228,2,1,30.5,3
17,0,3,0,-0.0,2,0,-0.250082096251412,0,3,7.226400000000001,3
18,0,2,0,2.0,1,0,-0.1726118430140898,2,2,13.0,4
19,0,2,0,-0.0,2,0,-0.0739989952069079,2,3,10.5,3
20,0,1,0,0.0,1,0,0.3966532329637331,0,2,28.875,3
21,0,3,0,-1.0,0,0,-0.5091649418539174,0,1,7.2292,3
22,0,3,0,-0.0,0,0,-0.4684503864356357,2,1,9.5,3
23,0,3,0,-0.0,0,0,0.3741659177419573,2,1,56.4958,3
24,0,3,0,1.0,0,1,-0.3982254880708376,0,2,6.70835,3
25,0,1,0,-0.0,0,0,-0.1627505582333716,2,1,26.55,3
26,0,3,0,1.0,0,0,-0.4980342407777903,2,1,7.85,3
27,0,3,0,-0.0,0,0,-0.4966895201258742,2,1,7.925,3
28,0,1,0,1.0,0,0,-0.1062722908528947,0,1,29.7,3
29,0,3,0,-0.0,0,0,-0.4998272016470118,1,1,7.75,3
30,0,1,0,-0.0,1,0,0.4369948525212167,2,2,30.0,3
31,0,2,0,-0.0,0,0,-0.369240482659003,0,1,15.0333,3
32,0,2,0,-0.0,0,0,-0.3594527092739229,0,1,15.5792,3
33,0,3,0,-2.0,4,1,-0.1165818158509183,1,6,4.854166666666667,1
34,0,3,0,0.0,0,0,-0.4972130646996868,2,1,7.8958,3
35,0,3,0,-0.0,0,0,-0.5016201625162333,2,1,7.65,3
36,0,3,0,-0.0,1,0,-0.3501149690670174,2,2,8.05,3
37,0,3,0,-1.0,0,0,-0.4972130646996868,2,1,7.8958,2
38,0,2,0,0.0,0,0,-0.3967319516667761,2,1,13.5,3
39,0,3,0,-1.0,0,0,-0.4998272016470118,2,1,7.75,2
40,0,1,0,-1.0,2,2,4.065499411608207,0,5,52.475,2
41,0,1,0,1.0,0,0,0.1214337395382344,2,1,42.4,4
42,0,1,0,0.0,0,0,-0.1271154609575945,0,1,28.5375,3
43,0,3,0,-1.0,0,0,-0.4972130646996868,2,1,7.8958,3
44,0,1,0,-0.0,0,0,-0.1417585723765264,0,1,27.7208,3
45,0,1,0,0.0,0,0,3.1533305693917737,0,1,211.5,3
46,0,3,0,-0.0,0,0,-0.4944483190393473,2,1,8.05,3
47,0,2,0,0.0,0,0,-0.4056967560128836,2,1,13.0,3
48,0,3,0,-2.0,1,1,-0.3654304408119074,0,3,5.081933333333333,1
49,0,1,0,3.0,1,0,3.337632603060789,2,2,110.8896,5
50,0,1,0,2.0,0,0,-0.1726118430140898,2,1,26.0,4
51,0,3,0,-0.0,0,0,-0.4972130646996868,2,1,7.8958,3
52,0,2,0,-0.0,0,0,-0.4467860402528324,1,1,10.7083,3
53,0,3,0,-0.0,1,0,-0.3796235190526646,0,2,7.2271,3
54,0,2,0,-2.0,1,1,-0.2264006690907345,2,3,7.666666666666667,1
55,0,3,0,-0.0,0,0,-0.4993789614297064,2,1,7.775,3
56,0,3,0,-0.0,0,0,-0.4944483190393473,2,1,8.05,3
57,0,1,0,-0.0,0,0,-0.1726118430140898,0,1,26.0,3
58,0,3,0,-0.0,0,0,-0.4990060255689084,2,1,7.7958,3
59,0,3,0,-0.0,0,0,-0.4966895201258742,2,1,7.925,3
60,0,3,0,0.0,0,0,-0.4944483190393473,2,1,8.05,3
61,0,2,0,-0.0,1,0,-0.1726118430140898,2,2,13.0,3
